Concentration,Generating-Function,Replicate,Saturation,Noise-Profile,Classification,Confidence-Score
01,3 State,1,High,Noise 1,Two-state continuous transition (red),0.62154629712783
01,3 State,2,High,Noise 1,Higher order state transition (magenta),0.30211664921292714
01,3 State,3,High,Noise 1,Higher order state transition (magenta),0.38478565558955047
01,3 State,1,High,Noise 2,Higher order state transition (magenta),0.2740628268917471
01,3 State,2,High,Noise 2,Higher order state transition (magenta),0.10893315553669146
01,3 State,3,High,Noise 2,Higher order state transition (magenta),0.23650918963347803
01,3 State,1,High,Noise 3,Higher order state transition (magenta),0.15718080955355485
01,3 State,2,High,Noise 3,Higher order state transition (magenta),0.12195929889917405
01,3 State,3,High,Noise 3,Higher order state transition (magenta),0.25038911986094453
02,3 State,1,High,Noise 1,Two-state continuous transition (red),0.536798165747369
02,3 State,2,High,Noise 1,Higher order state transition (magenta),0.4914900393567704
02,3 State,3,High,Noise 1,Higher order state transition (magenta),0.655625222567561
02,3 State,1,High,Noise 2,Higher order state transition (magenta),0.6239629048338754
02,3 State,2,High,Noise 2,Higher order state transition (magenta),0.5087998213759387
02,3 State,3,High,Noise 2,Higher order state transition (magenta),0.4270506018128577
02,3 State,1,High,Noise 3,Higher order state transition (magenta),0.21551225501777682
02,3 State,2,High,Noise 3,Higher order state transition (magenta),0.15305810847881934
02,3 State,3,High,Noise 3,Higher order state transition (magenta),0.06995694529550373
04,3 State,1,High,Noise 1,Higher order state transition (magenta),0.6225940097705468
04,3 State,2,High,Noise 1,Higher order state transition (magenta),0.702501889243009
04,3 State,3,High,Noise 1,Higher order state transition (magenta),0.702644884309741
04,3 State,1,High,Noise 2,Higher order state transition (magenta),0.6173125713951063
04,3 State,2,High,Noise 2,Higher order state transition (magenta),0.4931730582198962
04,3 State,3,High,Noise 2,Higher order state transition (magenta),0.6044763746514294
04,3 State,1,High,Noise 3,Higher order state transition (magenta),0.32024195997378796
04,3 State,2,High,Noise 3,Higher order state transition (magenta),0.30143420948624017
04,3 State,3,High,Noise 3,Higher order state transition (magenta),0.10474021061640221
04,3 State,1,Low,Noise 1,Higher order state transition (magenta),0.6423127150041804
04,3 State,2,Low,Noise 1,Higher order state transition (magenta),0.6587690678917182
04,3 State,3,Low,Noise 1,Higher order state transition (magenta),0.6988150355556585
04,3 State,1,Low,Noise 2,Higher order state transition (magenta),0.5770483520187655
04,3 State,2,Low,Noise 2,Higher order state transition (magenta),0.6194349310677921
04,3 State,3,Low,Noise 2,Higher order state transition (magenta),0.6190536865355447
04,3 State,1,Low,Noise 3,Higher order state transition (magenta),0.3030531401206374
04,3 State,2,Low,Noise 3,Higher order state transition (magenta),0.38977822594119665
04,3 State,3,Low,Noise 3,Higher order state transition (magenta),0.3462461924190316
04,3 State,1,Uniform 1,Noise 1,Higher order state transition (magenta),0.6530626013802173
04,3 State,2,Uniform 1,Noise 1,Higher order state transition (magenta),0.6387865547737123
04,3 State,3,Uniform 1,Noise 1,Higher order state transition (magenta),0.7006422252792268
04,3 State,1,Uniform 1,Noise 2,Higher order state transition (magenta),0.638100922728787
04,3 State,2,Uniform 1,Noise 2,Higher order state transition (magenta),0.6480852856938526
04,3 State,3,Uniform 1,Noise 2,Higher order state transition (magenta),0.6065465903548725
04,3 State,1,Uniform 1,Noise 3,Higher order state transition (magenta),0.32072769933223555
04,3 State,2,Uniform 1,Noise 3,Higher order state transition (magenta),0.3090227281215241
04,3 State,3,Uniform 1,Noise 3,Higher order state transition (magenta),0.2998693246857978
06,3 State,1,High,Noise 1,Higher order state transition (magenta),0.6719439848153343
06,3 State,2,High,Noise 1,Higher order state transition (magenta),0.6810963639429953
06,3 State,3,High,Noise 1,Higher order state transition (magenta),0.6556123710527281
06,3 State,1,High,Noise 2,Higher order state transition (magenta),0.7313090407812686
06,3 State,2,High,Noise 2,Higher order state transition (magenta),0.6266817376223788
06,3 State,3,High,Noise 2,Higher order state transition (magenta),0.6567630005845767
06,3 State,1,High,Noise 3,Higher order state transition (magenta),0.4802779185303038
06,3 State,2,High,Noise 3,Higher order state transition (magenta),0.4568498302836621
06,3 State,3,High,Noise 3,Higher order state transition (magenta),0.5350736972841166
06,3 State,1,Low,Noise 1,Higher order state transition (magenta),0.6661240743072283
06,3 State,2,Low,Noise 1,Higher order state transition (magenta),0.6791634302536437
06,3 State,3,Low,Noise 1,Higher order state transition (magenta),0.6356553966808026
06,3 State,1,Low,Noise 2,Higher order state transition (magenta),0.6955054218507062
06,3 State,2,Low,Noise 2,Higher order state transition (magenta),0.73701384055286
06,3 State,3,Low,Noise 2,Higher order state transition (magenta),0.48991802596291323
06,3 State,1,Low,Noise 3,Higher order state transition (magenta),0.4581972133769041
06,3 State,2,Low,Noise 3,Higher order state transition (magenta),0.4258998853958221
06,3 State,3,Low,Noise 3,Higher order state transition (magenta),0.3915143759014983
06,3 State,1,Uniform 1,Noise 1,Higher order state transition (magenta),0.693315879184061
06,3 State,2,Uniform 1,Noise 1,Higher order state transition (magenta),0.6539829937373803
06,3 State,3,Uniform 1,Noise 1,Higher order state transition (magenta),0.6778535210902542
06,3 State,1,Uniform 1,Noise 2,Higher order state transition (magenta),0.7157608042965213
06,3 State,2,Uniform 1,Noise 2,Higher order state transition (magenta),0.7003924800371053
06,3 State,3,Uniform 1,Noise 2,Higher order state transition (magenta),0.5648282721592379
06,3 State,1,Uniform 1,Noise 3,Higher order state transition (magenta),0.47930300408363935
06,3 State,2,Uniform 1,Noise 3,Higher order state transition (magenta),0.49787180499455297
06,3 State,3,Uniform 1,Noise 3,Higher order state transition (magenta),0.4484301461334897
08,3 State,1,High,Noise 1,Higher order state transition (magenta),0.13215276401575743
08,3 State,2,High,Noise 1,Higher order state transition (magenta),0.3301934374585949
08,3 State,3,High,Noise 1,Higher order state transition (magenta),0.029541695315308814
08,3 State,1,High,Noise 2,Higher order state transition (magenta),0.08169200279810607
08,3 State,2,High,Noise 2,Higher order state transition (magenta),0.2785679733347976
08,3 State,3,High,Noise 2,Two-state discontinuous transition (green),0.011777581741435433
08,3 State,1,High,Noise 3,Higher order state transition (magenta),0.4595714770878506
08,3 State,2,High,Noise 3,Higher order state transition (magenta),0.2698878383878464
08,3 State,3,High,Noise 3,Higher order state transition (magenta),0.19065190741759608
08,3 State,1,Low,Noise 1,Higher order state transition (magenta),0.13277448010168752
08,3 State,2,Low,Noise 1,Higher order state transition (magenta),0.029425072411167763
08,3 State,3,Low,Noise 1,Higher order state transition (magenta),0.24877534496665937
08,3 State,1,Low,Noise 2,Higher order state transition (magenta),0.6752528413880007
08,3 State,2,Low,Noise 2,Higher order state transition (magenta),0.5603026609778463
08,3 State,3,Low,Noise 2,Higher order state transition (magenta),0.7447418167739317
08,3 State,1,Low,Noise 3,Higher order state transition (magenta),0.5154009881423751
08,3 State,2,Low,Noise 3,Higher order state transition (magenta),0.6165102315764606
08,3 State,3,Low,Noise 3,Higher order state transition (magenta),0.4168823080225978
08,3 State,1,Uniform 1,Noise 1,Higher order state transition (magenta),0.24361551099273543
08,3 State,2,Uniform 1,Noise 1,Higher order state transition (magenta),0.32794171615114054
08,3 State,3,Uniform 1,Noise 1,Higher order state transition (magenta),0.1092434123090738
08,3 State,1,Uniform 1,Noise 2,Higher order state transition (magenta),0.1723074238963615
08,3 State,2,Uniform 1,Noise 2,Higher order state transition (magenta),0.4523786147589695
08,3 State,3,Uniform 1,Noise 2,Higher order state transition (magenta),0.6067308322337833
08,3 State,1,Uniform 1,Noise 3,Higher order state transition (magenta),0.41281328934590605
08,3 State,2,Uniform 1,Noise 3,Higher order state transition (magenta),0.29256915831047614
08,3 State,3,Uniform 1,Noise 3,Higher order state transition (magenta),0.3419730912510155
10,3 State,1,Uniform 2,Noise 1,Two-state discontinuous transition (green),0.1608749276751013
10,3 State,2,Uniform 2,Noise 1,Two-state discontinuous transition (green),0.4191197974633678
10,3 State,3,Uniform 2,Noise 1,Two-state discontinuous transition (green),0.4581477715501816
10,3 State,1,Uniform 2,Noise 2,Higher order state transition (magenta),0.5582258402609835
10,3 State,2,Uniform 2,Noise 2,Higher order state transition (magenta),0.05092992545968428
10,3 State,3,Uniform 2,Noise 2,Higher order state transition (magenta),0.5188432574636089
10,3 State,1,Uniform 2,Noise 3,Two-state discontinuous transition (green),0.1004308567046025
10,3 State,2,Uniform 2,Noise 3,Higher order state transition (magenta),0.24085623835568143
