Gene,Replicate,Mean-FRET,Saturation-Concentration,Classification,Confidence-Score
EPL1,1,-0.00218,0.0,No assembly at all concentrations (Blue Class),1.0
EPL1,2,-0.00504,0.0,No assembly at all concentrations (Blue Class),1.0
EPL1,3,-0.00584,0.0,No assembly at all concentrations (Blue Class),1.0
EPL1,4,-0.00639,0.0,No assembly at all concentrations (Blue Class),1.0
NRD1,1,0.02568,0.0,No assembly at all concentrations (Blue Class),1.0
NRD1,2,-0.00155,0.0,No assembly at all concentrations (Blue Class),0.5437
NRD1,3,-0.00217,0.0,No assembly at all concentrations (Blue Class),0.80726
NRD1,4,0.0317,0.0,No assembly at all concentrations (Blue Class),1.0
SLT2,1,-0.00377,0.0,No assembly at all concentrations (Blue Class),0.99847
SLT2,2,-0.0027,0.0,No assembly at all concentrations (Blue Class),1.0
SLT2,3,-0.00203,0.0,No assembly at all concentrations (Blue Class),0.99911
SLT2,4,-0.00426,0.0,No assembly at all concentrations (Blue Class),1.0
SAP30,1,-0.00316,4.89634,Incomplete Transition (Yellow Class),0.13802
SAP30,2,-0.00583,4.45529,Incomplete Transition (Yellow Class),0.31665
SAP30,3,-0.0015,4.14964,No assembly at all concentrations (Blue Class),1.0
SAP30,4,-0.00378,4.55432,No assembly at all concentrations (Blue Class),1.0
SCD6,1,-0.00406,0.0,No assembly at all concentrations (Blue Class),0.99557
SCD6,2,-0.01086,0.0,No assembly at all concentrations (Blue Class),1.0
SCD6,3,-0.00684,0.0,No assembly at all concentrations (Blue Class),1.0
SCD6,4,-0.00183,0.0,No assembly at all concentrations (Blue Class),1.0
SKG6,1,0.01411,0.0,No assembly at all concentrations (Blue Class),1.0
SKG6,2,0.00109,0.0,No assembly at all concentrations (Blue Class),1.0
SKG6,3,-0.00165,0.0,No assembly at all concentrations (Blue Class),1.0
SKG6,4,0.00675,0.0,No assembly at all concentrations (Blue Class),1.0
PDR1,1,0.01306,3.9755,Incomplete Transition (Yellow Class),0.85186
PDR1,2,0.02032,3.93765,Incomplete Transition (Yellow Class),0.70634
PDR1,3,0.0247,3.90418,Incomplete Transition (Yellow Class),0.67611
PDR1,4,0.00635,4.04877,Incomplete Transition (Yellow Class),0.93098
CLG1,1,0.03225,3.21112,No assembly at all concentrations (Blue Class),1.0
CLG1,2,0.01678,2.96033,No assembly at all concentrations (Blue Class),1.0
CLG1,3,0.0117,3.0682,Incomplete Transition (Yellow Class),0.99026
CLG1,4,0.03851,3.32408,Incomplete Transition (Yellow Class),0.99539
TAF12,1,-0.00457,0.0,No assembly at all concentrations (Blue Class),1.0
TAF12,2,-0.00692,0.0,No assembly at all concentrations (Blue Class),1.0
TAF12,3,-0.00416,0.0,No assembly at all concentrations (Blue Class),1.0
TAF12,4,-0.00435,0.0,No assembly at all concentrations (Blue Class),1.0
PIN3,1,-0.00336,0.0,No assembly at all concentrations (Blue Class),1.0
PIN3,2,-0.00743,0.0,No assembly at all concentrations (Blue Class),1.0
PIN3,3,-0.00703,0.0,No assembly at all concentrations (Blue Class),0.98588
PIN3,4,-0.00342,0.0,No assembly at all concentrations (Blue Class),1.0
MRN1,1,0.18999,2.72915,Discontinuous Transition (Green Class),0.08591
MRN1,2,0.2156,2.73075,Continuous Transition (Red Class),0.05195
